"c","Year","Sales"
"Vietnam",2019,0
"Vietnam",2020,0
"Vietnam",2021,85
"Vietnam",2022,7279
"Vietnam",2023,31700
"Vietnam",2024,45002
"Vietnam",2025,47766
"Vietnam",2026,52348
"Vietnam",2027,61851
"Vietnam",2028,73047
"Vietnam",2029,86243
"Vietnam",2030,101766
"Vietnam",2031,124221
"Vietnam",2032,147376
"Vietnam",2033,171232
"Vietnam",2034,195789
"Vietnam",2035,221046
"Vietnam",2036,254489
"Vietnam",2037,288866
"Vietnam",2038,324177
"Vietnam",2039,360422
"Vietnam",2040,397601
"Vietnam",2041,403439
"Vietnam",2042,409277
"Vietnam",2043,415115
"Vietnam",2044,420953
"Vietnam",2045,426792
"Vietnam",2046,432630
"Vietnam",2047,438468
"Vietnam",2048,444306
"Vietnam",2049,450144
"Vietnam",2050,455982
"Western Europe non EU",2015,265
"Western Europe non EU",2016,246
"Western Europe non EU",2017,893
"Western Europe non EU",2018,809
"Western Europe non EU",2019,1192
"Western Europe non EU",2020,2588
"Western Europe non EU",2021,4363
"Western Europe non EU",2022,7101
"Western Europe non EU",2023,10544
"Western Europe non EU",2024,9602
"Western Europe non EU",2025,10774
"Western Europe non EU",2026,12716
"Western Europe non EU",2027,14777
"Western Europe non EU",2028,17775
"Western Europe non EU",2029,19448
"Western Europe non EU",2030,21184
"Western Europe non EU",2031,21225
"Western Europe non EU",2032,21252
"Western Europe non EU",2033,21279
"Western Europe non EU",2034,21319
"Western Europe non EU",2035,21362
"Western Europe non EU",2036,21295
"Western Europe non EU",2037,21229
"Western Europe non EU",2038,21162
"Western Europe non EU",2039,21095
"Western Europe non EU",2040,21029
"Western Europe non EU",2041,20962
"Western Europe non EU",2042,20896
"Western Europe non EU",2043,20829
"Western Europe non EU",2044,20763
"Western Europe non EU",2045,20696
"Western Europe non EU",2046,20629
"Western Europe non EU",2047,20563
"Western Europe non EU",2048,20495
"Western Europe non EU",2049,20428
"Western Europe non EU",2050,20362
